WorldBean{word='you', count=374, chineseMsg='null', originMessage='null'}
WorldBean{word='going', count=20, chineseMsg='null', originMessage='null'}
WorldBean{word='will', count=20, chineseMsg='null', originMessage='null'}
WorldBean{word='only', count=20, chineseMsg='null', originMessage='null'}
WorldBean{word='uh', count=19, chineseMsg='null', originMessage='null'}
WorldBean{word='him', count=18, chineseMsg='null', originMessage='null'}
WorldBean{word='take', count=18, chineseMsg='null', originMessage='null'}
WorldBean{word='look', count=18, chineseMsg='null', originMessage='null'}
WorldBean{word='bathroom', count=18, chineseMsg='null', originMessage='null'}
WorldBean{word='these', count=17, chineseMsg='null', originMessage='null'}
WorldBean{word='wanna', count=17, chineseMsg='null', originMessage='null'}
WorldBean{word='great', count=17, chineseMsg='null', originMessage='null'}
WorldBean{word='why', count=17, chineseMsg='null', originMessage='null'}
WorldBean{word='sure', count=17, chineseMsg='null', originMessage='null'}
WorldBean{word='god', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='too', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='hey', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='ball', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='make', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='as', count=16, chineseMsg='null', originMessage='null'}
WorldBean{word='much', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='million', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='been', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='could', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='met', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='nice', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='job', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='theres', count=15, chineseMsg='null', originMessage='null'}
WorldBean{word='ill', count=14, chineseMsg='null', originMessage='null'}
WorldBean{word='because', count=14, chineseMsg='null', originMessage='null'}
WorldBean{word='cant', count=14, chineseMsg='null', originMessage='null'}
WorldBean{word='big', count=14, chineseMsg='null', originMessage='null'}
WorldBean{word='even', count=13, chineseMsg='null', originMessage='null'}
WorldBean{word='down', count=13, chineseMsg='null', originMessage='null'}
WorldBean{word='thought', count=13, chineseMsg='null', originMessage='null'}
WorldBean{word='or', count=13, chineseMsg='null', originMessage='null'}
WorldBean{word='has', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='hes', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='daphne', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='whats', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='maybe', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='when', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='kind', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='becker', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='kluger', count=12, chineseMsg='null', originMessage='null'}
WorldBean{word='cause', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='last', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='lot', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='claude', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='theyre', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='shes', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='doing', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='security', count=11, chineseMsg='null', originMessage='null'}
WorldBean{word='said', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='weil', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='please', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='rose', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='night', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='time', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='toussaint', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='something', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='money', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='steal', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='nine', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='years', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='new', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='any', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='didnt', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='hello', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='debbie', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='off', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='amazing', count=10, chineseMsg='null', originMessage='null'}
WorldBean{word='check', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='lets', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='someone', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='cut', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='two', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='had', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='excuse', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='does', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='mean', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='some', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='fine', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='first', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='work', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='stop', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='spot', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='real', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='gala', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='never', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='whos', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='over', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='us', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='our', count=9, chineseMsg='null', originMessage='null'}
WorldBean{word='jewels', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='must', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='insurance', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='better', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='put', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='thing', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='people', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='mmm', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='every', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='five', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='neck', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='call', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='shit', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='might', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='give', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='more', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='diamonds', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='few', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='id', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='them', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='old', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='um', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='course', count=8, chineseMsg='null', originMessage='null'}
WorldBean{word='guy', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='youve', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='light', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='three', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='lou', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='tell', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='their', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='being', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='coming', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='into', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='long', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='still', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='love', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='jail', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='special', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='guys', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='saying', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='museum', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='name', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='blind', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='way', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='care', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='most', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='keep', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='say', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='bit', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='world', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='looking', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='while', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='once', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='seen', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='place', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='person', count=7, chineseMsg='null', originMessage='null'}
WorldBean{word='magnet', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='left', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='without', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='after', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='room', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='queen', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='interested', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='let', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='apparently', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='youll', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='his', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='day', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='wasnt', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='maam', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='vault', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='may', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='exactly', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='feet', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='cartier', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='again', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='lost', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='seems', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='ive', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='theyve', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='vodka', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='asked', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='minute', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='came', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='those', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='am', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='by', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='hallway', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='somebody', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='thanks', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='everything', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='ms', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='metrocard', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='everybody', count=6, chineseMsg='null', originMessage='null'}
WorldBean{word='days', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='half', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='list', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='hard', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='weve', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='anyway', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='anymore', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='cameras', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='yet', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='away', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='water', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='clear', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='easy', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='company', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='talk', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='miss', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='eight', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='actually', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='seven', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='whole', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='curtsy', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='dude', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='told', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='running', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='cheers', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='wanted', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='girl', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='wrong', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='next', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='rest', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='simple', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='game', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='breathe', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='which', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='em', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='piece', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='table', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='than', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='friend', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='exhibit', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='life', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='problem', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='help', count=5, chineseMsg='null', originMessage='null'}
WorldBean{word='prison', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='hand', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='ever', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='everyone', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='try', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='walk', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='each', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='fallen', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='kitchen', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='probably', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='found', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='hackers', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='anna', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='things', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='anything', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='done', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='listen', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='tammy', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='trying', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='deb', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='hmm', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='possible', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='hold', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='feel', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='best', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='many', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='remember', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='arent', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='anyone', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='doesnt', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='cannot', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='family', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='sweetheart', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='mommy', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='stuff', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='red', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='isnt', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='happens', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='whatever', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='system', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='inside', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='always', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='sweet', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='weeks', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='gotta', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='around', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='such', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='through', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='huge', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='dressing', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='phone', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='outside', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='saw', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='brother', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='set', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='brilliant', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='camera', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='second', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='bunch', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='pull', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='sun', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='quite', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='suspect', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='stole', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='ocean', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='criminal', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='date', count=4, chineseMsg='null', originMessage='null'}
WorldBean{word='realized', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='hang', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='footprint', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='entire', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='live', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='names', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='loved', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='con', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='pink', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='wait', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='working', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='bingo', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='times', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='start', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='robbing', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='beautiful', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='havent', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='meeting', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='busboy', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='caught', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='yep', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='barely', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='means', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='jewelry', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='minutes', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='absolutely', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='clean', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='diamond', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='sounds', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='answer', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='sweetie', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='monica', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='hot', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='credit', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='finally', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='print', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='promise', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='holy', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='bite', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='loan', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='jesus', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='soon', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='present', count=3, chineseMsg='null', originMessage='null'}
WorldBean{word='likes', count=3, chineseMsg='null', originMessage='null'}
